Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2019,June,1 North West Metro, Melton,"4,809","2,916.4"
2019,June,1 North West Metro, Moonee Valley,"3,689","2,831.3"
2019,June,1 North West Metro, Moreland,"6,967","3,750.4"
2019,June,1 North West Metro, Nillumbik,"1,016","1,560.8"
2019,June,1 North West Metro, Whittlesea,"6,571","2,854.0"
2019,June,1 North West Metro, Wyndham,"5,911","2,185.3"
2019,June,1 North West Metro, Yarra,"7,008","6,904.8"
2019,June,1 North West Metro,Total,"82,521","3,655.8"
2019,June,2 Eastern, Alpine,213,"1,662.2"
2019,June,2 Eastern, Bass Coast,"1,150","3,166.3"
2019,June,2 Eastern, Baw Baw,"1,783","3,339.2"
2019,June,2 Eastern, Benalla,434,"3,091.8"
2019,June,2 Eastern, Boroondara,"3,792","2,069.9"
2019,June,2 Eastern, East Gippsland,"1,771","3,742.9"
2019,June,2 Eastern, Greater Shepparton,"3,122","4,694.9"
2019,June,2 Eastern, Indigo,244,"1,461.0"
2019,June,2 Eastern, Knox,"4,462","2,711.8"
2019,June,2 Eastern, Latrobe,"5,298","7,011.6"
2019,June,2 Eastern, Manningham,"2,361","1,850.7"
2019,June,2 Eastern, Mansfield,189,"2,059.7"
2019,June,2 Eastern, Maroondah,"2,954","2,491.6"
2019,June,2 Eastern, Mitchell,"1,608","3,489.4"
2019,June,2 Eastern, Moira,966,"3,228.1"
2019,June,2 Eastern, Monash,"5,059","2,494.0"
2019,June,2 Eastern, Murrindindi,340,"2,333.6"
2019,June,2 Eastern, South Gippsland,615,"2,055.9"
2019,June,2 Eastern, Strathbogie,296,"2,745.6"
2019,June,2 Eastern, Towong,100,"1,655.6"
2019,June,2 Eastern, Wangaratta,848,"2,905.4"
2019,June,2 Eastern, Wellington,"1,660","3,740.4"
2019,June,2 Eastern, Whitehorse,"4,168","2,331.9"
2019,June,2 Eastern, Wodonga,"1,310","3,112.9"
2019,June,2 Eastern, Yarra Ranges,"3,198","2,005.5"
2019,June,2 Eastern,Total,"47,941","2,787.8"
2019,June,3 Southern Metro, Bayside,"2,674","2,502.3"
2019,June,3 Southern Metro, Cardinia,"2,619","2,335.1"
2019,June,3 Southern Metro, Casey,"10,117","2,858.9"
2019,June,3 Southern Metro, Frankston,"5,641","3,954.6"
2019,June,3 Southern Metro, Glen Eira,"3,502","2,237.5"
2019,June,3 Southern Metro, Greater Dandenong,"7,944","4,722.9"
2019,June,3 Southern Metro, Kingston,"5,032","3,035.3"
2019,June,3 Southern Metro, Mornington Peninsula,"4,613","2,751.8"
2019,June,3 Southern Metro, Port Phillip,"6,234","5,392.7"
2019,June,3 Southern Metro, Stonnington,"5,018","4,260.9"
2019,June,3 Southern Metro,Total,"53,394","3,322.5"
2019,June,4 Western, Ararat,441,"3,723.1"
2019,June,4 Western, Ballarat,"4,826","4,407.1"
2019,June,4 Western, Buloke,110,"1,796.2"
2019,June,4 Western, Campaspe,"1,623","4,314.0"
2019,June,4 Western, Central Goldfields,475,"3,602.3"
2019,June,4 Western, Colac-Otway,722,"3,348.2"
2019,June,4 Western, Corangamite,267,"1,666.7"
2019,June,4 Western, Gannawarra,327,"3,122.6"
2019,June,4 Western, Glenelg,478,"2,429.6"
2019,June,4 Western, Golden Plains,316,"1,332.1"
2019,June,4 Western, Greater Bendigo,"3,961","3,354.1"
2019,June,4 Western, Greater Geelong,"8,673","3,349.5"
2019,June,4 Western, Hepburn,415,"2,597.8"
2019,June,4 Western, Hindmarsh,152,"2,720.1"
2019,June,4 Western, Horsham,634,"3,182.6"
2019,June,4 Western, Loddon,221,"2,945.1"
2019,June,4 Western, Macedon Ranges,890,"1,771.8"
2019,June,4 Western, Mildura,"2,907","5,211.8"
2019,June,4 Western, Moorabool,867,"2,473.7"
2019,June,4 Western, Mount Alexander,397,"2,009.7"
2019,June,4 Western, Moyne,320,"1,887.6"
2019,June,4 Western, Northern Grampians,399,"3,499.4"
2019,June,4 Western, Pyrenees,219,"2,930.9"
2019,June,4 Western, Queenscliffe,88,"2,993.2"
2019,June,4 Western, Southern Grampians,421,"2,614.9"
2019,June,4 Western, Surf Coast,602,"1,799.4"
2019,June,4 Western, Swan Hill,941,"4,557.1"
2019,June,4 Western, Warrnambool,"1,473","4,186.9"
2019,June,4 Western, West Wimmera,76,"1,978.7"
2019,June,4 Western, Yarriambiack,193,"2,907.1"
2019,June,4 Western,Total,"33,434","3,306.4"
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,986,
2019,June,Justice Institutions and Immigration Facilities,Total,986,
2019,June,Unincorporated Vic, Unincorporated Vic,48,
2019,June,Unincorporated Vic,Total,48,
2018,June,1 North West Metro, Banyule,"4,122","3,164.7"
2018,June,1 North West Metro, Brimbank,"8,343","3,996.8"
2018,June,1 North West Metro, Darebin,"7,349","4,546.2"
2018,June,1 North West Metro, Hobsons Bay,"2,737","2,836.8"
2018,June,1 North West Metro, Hume,"8,869","3,951.9"
2018,June,1 North West Metro, Maribyrnong,"4,144","4,533.3"
2018,June,1 North West Metro, Melbourne,"13,361","7,844.8"
2018,June,1 North West Metro, Melton,"4,887","3,118.3"
2018,June,1 North West Metro, Moonee Valley,"4,112","3,214.9"
2018,June,1 North West Metro, Moreland,"7,738","4,256.8"
2018,June,1 North West Metro, Nillumbik,"1,109","1,707.7"
2018,June,1 North West Metro, Whittlesea,"6,944","3,109.1"
2018,June,1 North West Metro, Wyndham,"6,107","2,391.5"
2018,June,1 North West Metro, Yarra,"6,607","6,703.1"
2018,June,1 North West Metro,Total,"86,429","3,943.1"
2018,June,2 Eastern, Alpine,183,"1,437.5"
2018,June,2 Eastern, Bass Coast,989,"2,799.6"
2018,June,2 Eastern, Baw Baw,"1,656","3,183.9"
2018,June,2 Eastern, Benalla,542,"3,865.1"
2018,June,2 Eastern, Boroondara,"4,023","2,218.0"
2018,June,2 Eastern, East Gippsland,"1,712","3,656.9"
2018,June,2 Eastern, Greater Shepparton,"2,937","4,449.5"
2018,June,2 Eastern, Indigo,203,"1,231.1"
2018,June,2 Eastern, Knox,"4,734","2,900.5"
2018,June,2 Eastern, Latrobe,"5,045","6,708.0"
2018,June,2 Eastern, Manningham,"2,403","1,914.2"
2018,June,2 Eastern, Mansfield,206,"2,294.2"
2018,June,2 Eastern, Maroondah,"2,894","2,462.9"
2018,June,2 Eastern, Mitchell,"1,588","3,584.8"
2018,June,2 Eastern, Moira,769,"2,580.8"
2018,June,2 Eastern, Monash,"5,449","2,721.6"
2018,June,2 Eastern, Murrindindi,312,"2,155.0"
2018,June,2 Eastern, South Gippsland,525,"1,775.1"
2018,June,2 Eastern, Strathbogie,320,"3,006.4"
2018,June,2 Eastern, Towong,89,"1,470.1"
2018,June,2 Eastern, Wangaratta,818,"2,812.3"
2018,June,2 Eastern, Wellington,"1,546","3,512.3"
2018,June,2 Eastern, Whitehorse,"4,044","2,294.2"
2018,June,2 Eastern, Wodonga,"1,281","3,092.0"
2018,June,2 Eastern, Yarra Ranges,"2,986","1,887.8"
2018,June,2 Eastern,Total,"47,254","2,780.9"
2018,June,3 Southern Metro, Bayside,"2,714","2,566.6"
2018,June,3 Southern Metro, Cardinia,"2,479","2,314.3"
2018,June,3 Southern Metro, Casey,"9,337","2,742.6"
2018,June,3 Southern Metro, Frankston,"5,531","3,899.3"
2018,June,3 Southern Metro, Glen Eira,"3,481","2,261.6"
2018,June,3 Southern Metro, Greater Dandenong,"7,594","4,570.8"
2018,June,3 Southern Metro, Kingston,"4,372","2,674.8"
2018,June,3 Southern Metro, Mornington Peninsula,"4,650","2,804.2"
2018,June,3 Southern Metro, Port Phillip,"6,291","5,554.2"
2018,June,3 Southern Metro, Stonnington,"4,893","4,207.9"
2018,June,3 Southern Metro,Total,"51,342","3,261.8"
2018,June,4 Western, Ararat,443,"3,755.8"
2018,June,4 Western, Ballarat,"5,118","4,768.7"
2018,June,4 Western, Buloke,104,"1,682.0"
2018,June,4 Western, Campaspe,"1,299","3,455.7"
2018,June,4 Western, Central Goldfields,489,"3,702.3"
2018,June,4 Western, Colac-Otway,747,"3,474.1"
2018,June,4 Western, Corangamite,351,"2,174.9"
2018,June,4 Western, Gannawarra,243,"2,304.2"
2018,June,4 Western, Glenelg,601,"3,056.3"
2018,June,4 Western, Golden Plains,306,"1,323.6"
2018,June,4 Western, Greater Bendigo,"3,487","3,005.0"
2018,June,4 Western, Greater Geelong,"9,028","3,579.3"
2018,June,4 Western, Hepburn,406,"2,567.7"
2018,June,4 Western, Hindmarsh,139,"2,462.8"
